# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AATBC	AATBC	NR_026961.1		0	0	0	39	0	0	0	0	0	0	0	11	0	3	0	5	0	0	0	0	0	20
ABCC13	ABCC13	NR_003087.1		0	0	0	67	0	0	0	0	0	0	0	8	0	40	0	4	0	0	0	0	0	15
ABCC13	ABCC13	NR_003088.1		0	0	0	53	0	0	0	0	0	0	0	11	0	25	0	2	0	0	0	0	0	15
ABCG1	ABCG1	NM_004915.3	protein_coding	0	1	0	158	4	0	0	0	0	0	0	15	0	132	0	0	0	0	0	0	1	7
ABCG1	ABCG1	NM_016818.2	protein_coding	0	1	0	158	4	0	0	0	0	0	0	15	0	132	0	0	0	0	0	0	1	7
ABCG1	ABCG1	NM_207174.1	protein_coding	0	1	0	157	4	0	0	0	0	0	0	15	0	131	0	0	0	0	0	0	1	7
ABCG1	ABCG1	NM_207627.1	protein_coding	0	1	0	171	4	0	0	0	0	0	0	15	0	148	0	0	0	0	0	0	1	4
ABCG1	ABCG1	NM_207628.1	protein_coding	0	1	0	171	4	0	0	0	0	0	0	15	0	148	0	0	0	0	0	0	1	4
ABCG1	ABCG1	NM_207629.1	protein_coding	0	1	0	161	4	0	0	0	0	0	0	15	0	136	0	0	0	0	0	0	1	6
ADAMTS1	ADAMTS1	NM_006988.5	protein_coding	0	5	2	42	4	0	2	0	0	0	0	12	0	15	2	0	0	0	0	0	5	9
ADAMTS5	ADAMTS5	NM_007038.5	protein_coding	0	3	4	78	9	0	0	0	0	0	0	9	0	54	4	0	0	0	0	0	3	6
ADARB1	ADARB1	NM_001112.4	protein_coding	0	1	1	234	14	0	0	0	0	0	0	2	0	211	1	0	0	0	0	0	1	7
ADARB1	ADARB1	NM_001160230.2	protein_coding	0	1	1	234	2	0	0	0	0	0	0	2	0	223	1	0	0	0	0	0	1	7
ADARB1	ADARB1	NM_001346687.2	protein_coding	0	0	3	128	2	0	0	0	0	0	0	2	0	121	3	0	0	0	0	0	0	3
ADARB1	ADARB1	NM_001346688.1	protein_coding	0	1	1	233	2	0	0	0	0	0	0	2	0	223	1	0	0	0	0	0	1	6
ADARB1	ADARB1	NM_015833.4	protein_coding	0	1	1	234	14	0	0	0	0	0	0	2	0	211	1	0	0	0	0	0	1	7
ADARB1	ADARB1	NM_015834.4	protein_coding	0	1	1	234	2	0	0	0	0	0	0	2	0	223	1	0	0	0	0	0	1	7
ADARB1	ADARB1	NR_027672.2		0	0	0	236	0	0	0	0	0	0	0	2	0	222	0	5	0	0	0	0	0	7
ADARB1	ADARB1	NR_027673.1		0	2	0	234	0	0	0	0	0	0	0	2	0	221	0	6	0	0	2	0	0	7
